,mw
1505,1500.152
1506,1522.541
1507,1462.577
1508,1375.365
1509,1290.415
1510,1162.496
1511,1023.653
1512,952.942
1513,862.978
1514,819.06
1515,793.411
1516,798.286
1517,816.393
1518,876.85
1519,917.435
1520,904.42
1521,891.388
1522,872.283
1523,895.404
1524,941.161
1525,932.319
1526,942.513
1527,991.135
1528,1053.431
1529,1126.289
1530,1149.895
1531,1142.305
1532,1140.657
1533,1091.964
1534,976.999
1535,891.036
1536,823.629
1537,776.888
1538,753.105
1539,739.2
1540,751.265
1541,789.856
1542,833.934
1543,850.905
1544,844.425
1545,795.59
1546,770.109
1547,759.677
1548,752.233
1549,781.851
1550,821.26
1551,877.595
1552,975.212
1553,1063.818
1554,1118.536
1555,1116.951
1556,1127.312
1557,1091.945
1558,1008.327
1559,905.726
1560,838.075
1561,803.852
1562,788.285
1563,778.128
1564,787.566
1565,833.613
1566,884.219
1567,937.768
1568,962.037
1569,967.405
1570,997.166
1571,1036.689
1572,1130.295
1573,1254.197
1574,1337.511
1575,1388.307
1576,1455.341
1577,1463.408
1578,1474.162
1579,1442.446
1580,1424.545
1581,1349.415
1582,1226.594
1583,1103.567
1584,1015.202
1585,946.043
1586,905.981
1587,894.927
1588,904.964
1589,933.161
1590,1000.109
1591,1089.991
1592,1166.386
1593,1197.859
1594,1230.381
1595,1287.038
1596,1355.363
1597,1456.147
1598,1550.123
1599,1581.268
1600,1601.086
1601,1610.731
1602,1622.114
1603,1595.742
1604,1550.363
1605,1475.803
1606,1325.752
1607,1168.966
1608,1026.623
1609,977.268
1610,925.503
1611,889.645
1612,881.521
1613,904.441
1614,966.315
1615,1028.982
1616,1066.726
1617,1110.893
1618,1160.527
1619,1188.528
1620,1240.079
1621,1285.009
1622,1320.172
1623,1391.307
1624,1425.151
1625,1422.975
1626,1389.997
1627,1349.828
1628,1334.276
1629,1299.244
1630,1205.054
1631,1080.642
1632,978.961
1633,903.197
1634,854.337
1635,830.33
1636,822.374
1637,824.275
1638,836.842
1639,866.862
1640,900.928
1641,933.301
1642,977.547
1643,1016.141
1644,1075.368
1645,1123.994
1646,1168.315
1647,1209.159
1648,1258.811
1649,1326.191
1650,1337.538
1651,1283.56
1652,1236.382
1653,1197.586
1654,1112.786
1655,1015.313
1656,933.235
1657,866.712
1658,831.882
1659,805.882
1660,797.121
1661,788.018
1662,791.216
1663,815.835
1664,844.83
1665,871.212
1666,897.998
1667,909.923
1668,940.114
1669,970.005
1670,1024.126
1671,1088.697
1672,1136.027
1673,1173.466
1674,1186.087
1675,1178.621
1676,1175.032
1677,1136.917
1678,1047.883
1679,948.754
1680,860.177
1681,818.542
1682,795.264
1683,789.323
